index,yield,radiation,rain,avg_min_temp,avg_max_temp,class
1,2.828125,122788.22,778.85,5.531472081,16.13771574,2
2,2.38,134126.73,935.76,6.389411765,17.01851765,2
3,1.826875,146453.83,1003.27,7.208311404,17.93894737,1
4,1.1875,157737.78,1046.95,7.91063655,18.65053388,0
5,3.151875,241551.12,1676.08,5.542067183,16.18895349,2
6,2.10375,252901.02,1727.29,5.943262765,16.6235741,2
7,1.934375,262676.7,1825.25,6.416518072,17.12543373,1
8,1.5425,276643.96,2066.65,6.847841561,17.58339839,1
9,2.520625,345964.18,2766.66,5.925035587,16.55592527,2
10,1.063125,357035.3,2843.61,6.160416667,16.84486111,0
11,0.553125,369594.13,2918.5,6.503918919,17.26800676,0
12,2.314375,386572.3,3127.99,6.891404221,17.70369318,2
13,1.958,131312.6,992.54,6.109206731,17.07591346,1
14,2.107,146256.93,1227.44,7.102052402,18.01838428,2
15,1.683,157491.95,1361.64,7.673668033,18.54092213,1
16,0.607,168840.36,1398.66,8.119285714,19.08972973,0
17,2.458,243203.55,2046.21,4.978840206,15.79166237,2
18,2.263,255157.1,2164.33,5.444029666,16.27543881,2
19,1.999,269341.33,2198.82,5.830510083,16.69194543,2
20,0.587,282434.47,2270.71,6.264220705,17.14828214,0
21,1.552941176,78064.65,620.61,3.555392857,14.09046429,1
22,1.104117647,89702.5,683.51,4.762806452,15.45751613,0
23,1.159411765,102155.66,712.25,6.067836257,16.84994152,1
24,1.26,115289.61,836.82,7.315078947,18.14039474,1
25,2.237647059,297866.57,2811.76,5.510158103,16.04932806,2
26,1.870588235,310590.38,2968.34,5.923658071,16.46616046,1
27,1.164117647,323710.46,3057.78,6.306201479,16.86260628,1
28,0.837058824,333422.21,3177.75,6.632578616,17.15107817,0
